"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"MH Vehicle Diagnostics and Tuning Ltd","5","147","Unit 5, Horizon Ind Est, Sutton Rd","Great Yarmouth",,"GB","https://mhvd.co.uk/","+44 1692 772102","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MH%20Vehicle%20Diagnostics%20and%20Tuning%20Ltd&query_place_id=ChIJOxIc_9_h2UcRsYvojW2xLX4","Auto tune up service"
"Speedworks remaps / repairs","5","96","Unit 1 Station Rd","North Walsham",,"GB","https://www.speedworksremaps.co.uk/","+44 7423 783930","Auto tune up service","Car repair and maintenance service","Mechanic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Speedworks%20remaps%20%2F%20repairs&query_place_id=ChIJN1ywEowb2kcR0DKrfMlHYNI","Auto tune up service"
"Courtenay Sport Ltd","4.9","103","14, 14 Folgate Rd","North Walsham",,"GB","https://www.courtenaysport.co.uk/","+44 1692 404313","Auto tune up service","Auto repair shop","Auto parts store","Tune up supplier",,,,,,"https://www.google.com/maps/search/?api=1&query=Courtenay%20Sport%20Ltd&query_place_id=ChIJRXtTUY9a10cRPis40xxdlBM","Auto tune up service"
"Russell Road Racing","5","19","Unit 5D Folgate Rd","North Walsham",,"GB","https://russellroadracing.co.uk/","+44 1603 552569","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Russell%20Road%20Racing&query_place_id=ChIJlzBrdKvj2UcRWRkqxvASb38","Auto tune up service"
"Coastal Motorsport","5","33","Midland Rd","North Walsham",,"GB","https://www.coastalmotorsport.co.uk/","+44 1692 218390","Auto tune up service","Auto repair shop","Car repair and maintenance service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Coastal%20Motorsport&query_place_id=ChIJKaiECcxb10cR5bQdSRsE0ro","Auto tune up service"
"CAT Automotive","4.9","146","Unit 7a, Caston Industrial Estate, 175 Salhouse Rd","Norwich",,"GB","http://www.enginetuning.net/","+44 1603 702400","Auto tune up service","Car repair and maintenance service","Diagnostic center","Mapping service","Repair service",,,,,"https://www.google.com/maps/search/?api=1&query=CAT%20Automotive&query_place_id=ChIJb2TzEq7j2UcRRV89Kmesll4","Auto tune up service"
"EAC Performance BMW & MINI specialists","4.7","142","Unit 1 Vulcan Rd S","Norwich",,"GB","http://www.eacperformance.co.uk/","+44 1603 926466","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EAC%20Performance%20BMW%20%26%20MINI%20specialists&query_place_id=ChIJH58ag9rh2UcRh6PM9b0gxBk","Auto repair shop"
"ECU Boost - Car Remapping, Car Tuning, ECU Remapping, Bench Tuning, ECU Cloning & Repairs, Vehicle Electronics & Programming","4.5","213","Staines Rd","Feltham",,"GB","http://www.ecuboost.co.uk/","+44 7876 098098","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Boost%20-%20Car%20Remapping%2C%20Car%20Tuning%2C%20ECU%20Remapping%2C%20Bench%20Tuning%2C%20ECU%20Cloning%20%26%20Repairs%2C%20Vehicle%20Electronics%20%26%20Programming&query_place_id=ChIJnxh3KcJzdkgR957v27uCmLE","Auto tune up service"
"AC Tuning","4.8","82","12 Meteor Cl","Norwich",,"GB","http://www.autoculturetuning.co.uk/","+44 7450 102792","Small engine repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Tuning&query_place_id=ChIJh2F_RATj2UcRphSO1YA0jVo","Small engine repair service"
"ECU Remapping Stage 1.EGR&Adblue delete, carbon clean. DPF Clean, locksmith service all mobile service","4.9","45","157 Aylsham Rd","Norwich",,"GB","https://soscarbon.co.uk/","","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Remapping%20Stage%201.EGR%26Adblue%20delete%2C%20carbon%20clean.%20DPF%20Clean%2C%20locksmith%20service%20all%20mobile%20service&query_place_id=ChIJuzknaqjh2UcR__Iti0ssyzc","Car repair and maintenance service"
