"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"BT Garage","4.7","186","138 Milford St","Upton","Massachusetts","US","https://btgarage.com/","(508) 762-1769","Auto repair shop","Diagnostic center",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BT%20Garage&query_place_id=ChIJKZ6P6zoN5IkR70bOm6Zbs0s","Auto repair shop"
"Eurocharged Performance - Boston","4.9","128","24 Thayer Rd Unit 2","Waltham","Massachusetts","US","https://m.facebook.com/eurochargedNewEngland","(781) 775-3876","Auto tune up service","Auto repair shop","Dynamometer supplier",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eurocharged%20Performance%20-%20Boston&query_place_id=ChIJOfsB7_qd44kR0xhxvdMPWC8","Auto tune up service"
"Eagle Tuning Performance","5","14","199 Strong Rd","South Windsor","Connecticut","US","https://eagletuning.com/","(203) 675-3423","Auto tune up service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eagle%20Tuning%20Performance&query_place_id=ChIJU_49CW1X5okR-qiwRKyzgA4","Auto tune up service"
"ECS Performance & Automotive","4.8","297","1257 John Fitch Blvd Unit 12","South Windsor","Connecticut","US","http://ecs-performance.com/","(860) 758-7644","Auto tune up service","Auto repair shop","Car repair and maintenance service","Mechanic","Tire shop","Used car dealer",,,,,"https://www.google.com/maps/search/?api=1&query=ECS%20Performance%20%26%20Automotive&query_place_id=ChIJk4o0kYn-5okRGT1cwfcL5Wo","Auto tune up service"
"Enhanced Street Performance","4.6","48","12 Beverly Dr","Sterling","Massachusetts","US","http://enhancedstreetperformance.com/","(978) 422-7273","Auto tune up service","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Enhanced%20Street%20Performance&query_place_id=ChIJB0raheXv44kRuD0PpHZJMtI","Auto tune up service"
"Dynotech Tuning Inc","4.8","311","20 Hollister Rd","Seekonk","Massachusetts","US","http://www.dynotechtuning.com/","(508) 336-3966","Auto tune up service","Auto repair shop","Auto spring shop","Automobile storage facility","Car racing venue","Engine rebuilding service","Metal fabricator","Racing car parts store","Steel fabricator","Welder","https://www.google.com/maps/search/?api=1&query=Dynotech%20Tuning%20Inc&query_place_id=ChIJ61GW06tQ5IkRVbj3uqIds4s","Auto tune up service"
"Prime Speed Tuning LLC","4.4","49","266 Haverhill St","Rowley","Massachusetts","US","http://primespeedtuning.com/","(978) 432-2150","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20Speed%20Tuning%20LLC&query_place_id=ChIJn9yiOi8S44kR95Evo7IAdW8","Auto repair shop"
"Slowhawk Performance","4.8","79","30 1st St Unit 8","Bridgewater","Massachusetts","US",,"(508) 659-4454","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Slowhawk%20Performance&query_place_id=ChIJw1YtiwyO5IkRudOhgp1-0O8","Auto repair shop"
"ACE Performance","4.8","63","860 East St","Tewksbury","Massachusetts","US","http://www.aceperformancesystems.com/","(978) 710-3116","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ACE%20Performance&query_place_id=ChIJDQVzT1mn44kRGXhXHqCmEa4","Auto repair shop"
"Excelerate Performance","4.5","317","12 Sycamore Way UNIT 1","Branford","Connecticut","US","http://www.excelerateperformance.com/","(203) 483-6100","Auto tune up service","Auto parts store","Auto spring shop","Auto repair shop","Engine rebuilding service","Tire shop","Wheel alignment service",,,,"https://www.google.com/maps/search/?api=1&query=Excelerate%20Performance&query_place_id=ChIJk8m6JUHW54kR422uOIPxyOA","Auto tune up service"
"Kinetic Motorworks","4.9","241","313 Kent Farm Rd","Hampstead","New Hampshire","US","http://www.kineticmotorworks.com/","(603) 329-6083","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kinetic%20Motorworks&query_place_id=ChIJBzBUOFX_4okRdySKpmlC2CI","Auto repair shop"
"SP Tuning LLC","4.9","72","864 Main St","Acton","Massachusetts","US","http://www.sptuningllc.com/","(978) 224-3980","Auto tune up service","Auto parts store","Auto repair shop","Car repair and maintenance service","Hardware store","Racing car parts store",,,,,"https://www.google.com/maps/search/?api=1&query=SP%20Tuning%20LLC&query_place_id=ChIJw__PU2mX44kRRB4LtLT2hfc","Auto tune up service"
"Zeus Performance","4.9","106","86 Newburyport Turnpike","Newbury","Massachusetts","US",,"(978) 853-0384","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zeus%20Performance&query_place_id=ChIJ_ZDqT-Th4okR2heDI2tT_fM","Auto repair shop"
"Synaptic 3 Performance","4.3","18","111 School St","Northwood","New Hampshire","US","http://www.synaptic3.com/","(603) 942-6009","Auto tune up service","Automobile storage facility","Metal fabricator","Motorsports store",,,,,,,"https://www.google.com/maps/search/?api=1&query=Synaptic%203%20Performance&query_place_id=ChIJo-sGrjFZ4okRcuINkayxlLE","Auto tune up service"
"Revolution Tuning Services LLC","5","3","3 Owens Ct #2","Hampstead","New Hampshire","US",,"(603) 329-5810","Car repair and maintenance service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Revolution%20Tuning%20Services%20LLC&query_place_id=ChIJf7zelar44okRUeIzek5Es1w","Car repair and maintenance service"
"Hi-Tech Performance","4.9","92","22 Monterey Dr","West Warwick","Rhode Island","US","https://hitechperformanceri.com/","(401) 615-0818","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hi-Tech%20Performance&query_place_id=ChIJ05LKny5L5IkRcP29lMLHlPU","Auto repair shop"
"Babcock Tuning Inc","4.6","9","204 Remington Ave","Fall River","Massachusetts","US","https://www.babcocktuning.com/contact.html","(774) 357-5337","Auto repair shop","Boat repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Babcock%20Tuning%20Inc&query_place_id=ChIJ__-bOUz_5IkRcdK64daEtEg","Auto repair shop"
